Frame,Object_ID,YOLO_Label,Best_Match,Score
keyframe_0.jpg,1,potted plant,A plant,0.9796
keyframe_0.jpg,2,potted plant,A plant,0.9108
keyframe_0.jpg,3,potted plant,A plant,0.9765
keyframe_0.jpg,4,potted plant,A plant,0.9614
keyframe_0.jpg,5,potted plant,A plant,0.9764
keyframe_1.jpg,1,potted plant,A book,0.2952
keyframe_1.jpg,2,chair,A book,0.333
keyframe_1.jpg,3,couch,A book,0.3649
keyframe_10.jpg,1,person,A Saree,0.3914
keyframe_100.jpg,1,person,A book,0.8401
keyframe_100.jpg,2,person,A Saree,0.5968
keyframe_100.jpg,3,couch,A bed,0.4157
keyframe_100.jpg,4,chair,A book,0.4149
keyframe_100.jpg,5,bed,A bed,0.9042
keyframe_100.jpg,6,chair,A chair,0.7192
keyframe_100.jpg,7,chair,A chair,0.4881
keyframe_100.jpg,8,chair,A watch,0.3262
keyframe_102.jpg,1,person,A Saree,0.7949
keyframe_102.jpg,2,chair,A watch,0.3204
keyframe_102.jpg,3,bed,A bed,0.5733
keyframe_102.jpg,4,couch,A bed,0.3921
keyframe_102.jpg,5,person,A watch,0.3747
keyframe_104.jpg,1,chair,A book,0.2706
keyframe_104.jpg,2,person,A Saree,0.4575
keyframe_104.jpg,3,bed,A bed,0.335
keyframe_104.jpg,4,couch,A bed,0.6849
keyframe_104.jpg,5,dining table,A bed,0.2126
keyframe_106.jpg,1,person,A Saree,0.7716
keyframe_106.jpg,2,chair,A book,0.4345
keyframe_106.jpg,3,bed,A bed,0.4412
keyframe_106.jpg,4,couch,A bed,0.4195
keyframe_106.jpg,5,person,A book,0.9378
keyframe_106.jpg,6,dining table,A spoon,0.1888
keyframe_107.jpg,1,person,A Kurta,0.2995
keyframe_107.jpg,2,person,A Necklace,0.1772
keyframe_108.jpg,1,person,A Kurta,0.4534
keyframe_109.jpg,1,person,A Saree,0.4224
keyframe_109.jpg,2,person,A book,0.4291
keyframe_11.jpg,1,person,A Kurta,0.881
keyframe_110.jpg,1,person,A Saree,0.7728
keyframe_110.jpg,2,person,A Kurta,0.7432
keyframe_110.jpg,3,chair,A chair,0.5062
keyframe_110.jpg,4,book,A book,0.3576
keyframe_110.jpg,5,book,A book,0.9879
keyframe_110.jpg,6,book,A watch,0.2864
keyframe_111.jpg,1,person,A Saree,0.3413
keyframe_111.jpg,2,person,A ring,0.625
keyframe_111.jpg,3,person,A woman wearing a saree,0.3983
keyframe_112.jpg,1,person,A Saree,0.2627
keyframe_113.jpg,1,person,A Saree,0.1868
keyframe_114.jpg,1,chair,A chair,0.7419
keyframe_114.jpg,2,couch,A chair,0.878
keyframe_114.jpg,3,chair,A book,0.7968
keyframe_114.jpg,4,chair,A book,0.5579
keyframe_114.jpg,5,book,A book,0.2558
keyframe_114.jpg,6,potted plant,A book,0.315
keyframe_114.jpg,7,dining table,A chair,0.3077
keyframe_114.jpg,8,book,A book,0.9845
keyframe_115.jpg,1,person,A Saree,0.4208
keyframe_116.jpg,1,person,A bag,0.2986
keyframe_116.jpg,2,couch,A chair,0.9442
keyframe_116.jpg,3,potted plant,A watch,0.3603
keyframe_116.jpg,4,chair,A book,0.2657
keyframe_116.jpg,5,bottle,A watch,0.3943
keyframe_116.jpg,6,dining table,A chair,0.4698
keyframe_116.jpg,7,chair,A book,0.2801
keyframe_116.jpg,8,book,A book,0.997
keyframe_116.jpg,9,book,A bag,0.3526
keyframe_117.jpg,1,person,A book,0.4349
keyframe_117.jpg,2,person,A Saree,0.4653
keyframe_117.jpg,3,person,A spoon,0.5186
keyframe_117.jpg,4,person,A Saree,0.5301
keyframe_117.jpg,5,potted plant,A watch,0.2483
keyframe_118.jpg,1,person,Spectacles,0.3325
keyframe_118.jpg,2,tie,pants,0.4178
keyframe_119.jpg,1,person,A Kurta,0.2702
keyframe_119.jpg,2,person,A bag,0.2575
keyframe_119.jpg,3,person,A Saree,0.7556
keyframe_12.jpg,1,person,A Saree,0.3622
keyframe_120.jpg,1,person,A Kurta,0.3119
keyframe_120.jpg,2,person,A Saree,0.3184
keyframe_120.jpg,3,person,A Saree,0.8288
keyframe_120.jpg,4,chair,A bag,0.2214
keyframe_121.jpg,1,person,A Kurta,0.3448
keyframe_121.jpg,2,person,A watch,0.2954
keyframe_121.jpg,3,person,A bag,0.4089
keyframe_121.jpg,4,person,A watch,0.5239
keyframe_121.jpg,5,bottle,A book,0.3119
keyframe_122.jpg,1,person,A Saree,0.6261
keyframe_123.jpg,1,person,A Saree,0.7186
keyframe_124.jpg,1,person,A book,0.9356
keyframe_124.jpg,2,person,A bag,0.7355
keyframe_124.jpg,3,person,A watch,0.3132
keyframe_124.jpg,4,chair,A book,0.6066
keyframe_124.jpg,5,person,A watch,0.3344
keyframe_125.jpg,1,person,A Saree,0.6003
keyframe_126.jpg,1,person,A Saree,0.6845
keyframe_127.jpg,1,person,A Saree,0.4361
keyframe_128.jpg,1,person,A Kurta,0.4938
keyframe_128.jpg,2,tie,A watch,0.2572
keyframe_129.jpg,1,person,A Saree,0.6202
keyframe_13.jpg,1,person,A Kurta,0.9413
keyframe_130.jpg,1,person,A Kurta,0.64
keyframe_130.jpg,2,tie,A watch,0.2749
keyframe_130.jpg,3,tie,A ring,0.3533
keyframe_131.jpg,1,person,A Saree,0.6212
keyframe_132.jpg,1,person,A Saree,0.5364
keyframe_133.jpg,1,person,A Saree,0.4788
keyframe_133.jpg,2,person,A book,0.289
