Frame,Person_ID,Best_Match,Score
keyframe_120.jpg,2,A person wearing pants,0.9473
keyframe_100.jpg,2,A Western outfit,0.9368
keyframe_66.jpg,3,A Western outfit,0.9201
keyframe_11.jpg,1,A Western outfit,0.9157
keyframe_153.jpg,2,A Western outfit,0.9106
keyframe_178.jpg,2,A Western outfit,0.9102
keyframe_35.jpg,2,A person wearing a t-shirt,0.9092
keyframe_158.jpg,9,A Western outfit,0.9045
keyframe_142.jpg,1,A Western outfit,0.8997
keyframe_73.jpg,4,A Western outfit,0.8993
keyframe_40.jpg,1,A person wearing pants,0.8986
keyframe_144.jpg,2,A Saree,0.8844
keyframe_153.jpg,12,A person wearing pants,0.8841
keyframe_178.jpg,7,A Saree,0.8816
keyframe_98.jpg,1,A Saree,0.8802
keyframe_120.jpg,3,A Saree,0.8751
keyframe_89.jpg,1,A person wearing pants,0.8743
keyframe_106.jpg,2,A Western outfit,0.8686
keyframe_40.jpg,3,A Western outfit,0.8648
keyframe_110.jpg,1,A Saree,0.8574
keyframe_98.jpg,2,A Western outfit,0.8537
keyframe_102.jpg,1,A Saree,0.851
keyframe_158.jpg,1,A Western outfit,0.8488
keyframe_119.jpg,3,A Saree,0.8477
keyframe_117.jpg,4,A Saree,0.8408
keyframe_150.jpg,1,A Saree,0.839
keyframe_23.jpg,2,A person wearing a t-shirt,0.8364
keyframe_102.jpg,2,A Western outfit,0.8361
keyframe_9.jpg,1,A Western outfit,0.8359
keyframe_130.jpg,1,A person wearing pants,0.8344
keyframe_100.jpg,1,A Western outfit,0.8319
keyframe_25.jpg,2,A person wearing a t-shirt,0.8298
keyframe_148.jpg,1,A Western outfit,0.8293
keyframe_89.jpg,4,A Saree,0.8266
keyframe_119.jpg,2,A person wearing pants,0.8212
keyframe_151.jpg,1,A Saree,0.8205
keyframe_178.jpg,1,A Saree,0.82
keyframe_104.jpg,1,A Saree,0.8194
keyframe_16.jpg,2,A Saree,0.8105
keyframe_155.jpg,1,A Saree,0.8084
keyframe_89.jpg,3,A Saree,0.8053
keyframe_117.jpg,1,A person wearing pants,0.7981
keyframe_96.jpg,2,A Saree,0.7973
keyframe_97.jpg,1,A Saree,0.7934
keyframe_171.jpg,1,A Saree,0.7931
keyframe_26.jpg,2,A person wearing pants,0.7925
keyframe_147.jpg,4,A Western outfit,0.7921
keyframe_178.jpg,8,A Saree,0.792
keyframe_66.jpg,5,A Western outfit,0.792
keyframe_178.jpg,6,A Saree,0.788
keyframe_71.jpg,1,A Western outfit,0.7876
keyframe_131.jpg,1,A Saree,0.7829
keyframe_117.jpg,2,A Saree,0.7756
keyframe_176.jpg,1,A Western outfit,0.7737
keyframe_158.jpg,3,A Saree,0.7736
keyframe_163.jpg,10,A Western outfit,0.7684
keyframe_66.jpg,4,A Western outfit,0.7664
keyframe_163.jpg,3,A Western outfit,0.7653
keyframe_124.jpg,1,A person wearing pants,0.7639
